seat_name,division,district,party,candidate,votes
Shariatpur 2,Dhaka,Shariatpur,Jatiya Party (JaPa),Jasim Uddin,-
Shariatpur 2,Dhaka,Shariatpur,Bangladesh Jamaat-e-Islami (Jamaat),Mahmud Hossain,70892.0
Shariatpur 2,Dhaka,Shariatpur,Bangladesh Khelafat Andolon (BKA),Mahmudul Hasan,-
Shariatpur 2,Dhaka,Shariatpur,Independent Candidate (Independent),Md. Alamgir Hossain,-
Shariatpur 2,Dhaka,Shariatpur,Independent Candidate (Independent),Md. Nasir,-
Shariatpur 2,Dhaka,Shariatpur,Bangladesh Nationalist Party (BNP),Md. Shafiqur Rahman (Kiran),129814.0
Shariatpur 2,Dhaka,Shariatpur,Janotar Dol,Pervez Mosharraf,-
Shariatpur 3,Dhaka,Shariatpur,Islami Andolan Bangladesh (IAB),Hanif Mia,-
Shariatpur 3,Dhaka,Shariatpur,Jatiya Party (JaPa),Md. Abdul Hannan,-
Shariatpur 3,Dhaka,Shariatpur,Bangladesh Nationalist Party (BNP),Mia Nuruddin Ahmed Apu,107516.0
Shariatpur 3,Dhaka,Shariatpur,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Azaharul Islam,69684.0
Sherpur 1,Mymensingh,Sherpur,Independent Candidate (Independent),Md. Ilias Uddin,205.0
Sherpur 1,Mymensingh,Sherpur,National Citizen Party (NCP),Md. Likhon Mia,456.0
Sherpur 1,Mymensingh,Sherpur,Jatiya Party (JaPa),Md. Mahmudul Haque Moni,751.0
Sherpur 1,Mymensingh,Sherpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rashidul Islam Rashed,127811.0
Sherpur 1,Mymensingh,Sherpur,Independent Candidate (Independent),Md. Shafiqul Islam Masud,62415.0
Sherpur 1,Mymensingh,Sherpur,Bangladesh Nationalist Party (BNP),Sansila Zebrin,78342.0
Sherpur 2,Mymensingh,Sherpur,Islami Andolan Bangladesh (IAB),Md. Abdullah Al Kayes,4877.0
Sherpur 2,Mymensingh,Sherpur,Bangladesh Jamaat-e-Islami (Jamaat),Md. Golam Kibria,108335.0
Sherpur 2,Mymensingh,Sherpur,Bangladesh Nationalist Party (BNP),Mohammad Fahim Chowdhury,118472.0
Sherpur 3,Mymensingh,Sherpur,Islami Andolan Bangladesh (IAB),Abu Taleb Md. Saifuddin,-
Sherpur 3,Mymensingh,Sherpur,Independent Candidate (Independent),Md. Aminul Islam,-
Sherpur 3,Mymensingh,Sherpur,Bangladesh Nationalist Party (BNP),Md. Mahmudul Haque Rubel,-
Sherpur 3,Mymensingh,Sherpur,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Nuruzzaman,-
Sirajganj 1,Rajshahi,Sirajganj,Independent Candidate (Independent),Md. Abdus Sabur,-
Sirajganj 1,Rajshahi,Sirajganj,Nagorik Oikya (NO),Md. Nazmus Shakib,-
Sirajganj 1,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),Md. Selim Reza,116613.0
Sirajganj 1,Rajshahi,Sirajganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shahinur Alam,108815.0
Sirajganj 1,Rajshahi,Sirajganj,Jatiya Party (JaPa),Md. Zahurul Islam,-
Sirajganj 1,Rajshahi,Sirajganj,Gono Odhikar Parishad (GOP),Mst Mallika Khatun,-
Sirajganj 2,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),Iqbal Hassan Mahmud,177578.0
Sirajganj 2,Rajshahi,Sirajganj,Communist Party of Bangladesh (CPB),Md. Anwar Hossain,-
Sirajganj 2,Rajshahi,Sirajganj,Islami Andolan Bangladesh (IAB),Md. Mohibullah,-
Sirajganj 2,Rajshahi,Sirajganj,Janotar Dol,Md. Sohel Rana,-
Sirajganj 2,Rajshahi,Sirajganj,Gono Odhikar Parishad (GOP),Mohammad Mahfuzur Rahman,-
Sirajganj 2,Rajshahi,Sirajganj,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Zahidul Islam,138797.0
Sirajganj 2,Rajshahi,Sirajganj,Bangladesh Samajtantrik Dal (Basad),S. M Abdullah Al Mamun,-
Sirajganj 3,Rajshahi,Sirajganj,Bangladesh Khelafat Majlish (BKM),Md. Abdur Rauf Sarkar,116802.0
Sirajganj 3,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),Md. Aynul Haque,174430.0
Sirajganj 3,Rajshahi,Sirajganj,Independent Candidate (Independent),Md. Elias Reza Robin,1006.0
Sirajganj 3,Rajshahi,Sirajganj,Jatiya Party (JaPa),Md. Fazlul Haque,1658.0
Sirajganj 4,Rajshahi,Sirajganj,Islami Andolan Bangladesh (IAB),Abdur Rahman,2216.0
Sirajganj 4,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),M Akbar Ali,161278.0
Sirajganj 4,Rajshahi,Sirajganj,Communist Party of Bangladesh (CPB),Md. Abdul Hakim,695.0
Sirajganj 4,Rajshahi,Sirajganj,Jatiya Party (JaPa),Md. Hilton Pramanik,1213.0
Sirajganj 4,Rajshahi,Sirajganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Rafiqul Islam Khan,161872.0
Sirajganj 5,Rajshahi,Sirajganj,Jatiya Party (JaPa),Md. Akbar Hossain,-
Sirajganj 5,Rajshahi,Sirajganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Ali Alam,106805.0
Sirajganj 5,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),Md. Amirul Islam Khan,134989.0
Sirajganj 5,Rajshahi,Sirajganj,Communist Party of Bangladesh (CPB),Md. Matiar Rahman,-
Sirajganj 5,Rajshahi,Sirajganj,Gono Odhikar Parishad (GOP),Md. Yusuf Ali,-
Sirajganj 5,Rajshahi,Sirajganj,Islami Andolan Bangladesh (IAB),Nurun Nabi,-
Sirajganj 6,Rajshahi,Sirajganj,Amar Bangladesh Party (AB),Abu Jafar Md. Anwarus Sadat,-
Sirajganj 6,Rajshahi,Sirajganj,Jatiya Samajtantrik Dal-JASAD,Elora Khatun,-
Sirajganj 6,Rajshahi,Sirajganj,Bangladesh Nationalist Party (BNP),M.A. Muhit,171508.0
Sirajganj 6,Rajshahi,Sirajganj,Bangladesh Samajtantrik Dal (Basad),Md. Anwar Hossain,-
Sirajganj 6,Rajshahi,Sirajganj,Amjanatar Dol,Md. Asadul Haque,-
Sirajganj 6,Rajshahi,Sirajganj,Independent Candidate (Independent),Md. Humayun Kabir,-
Sirajganj 6,Rajshahi,Sirajganj,Jatiya Party (JaPa),Md. Moktar Hossain,-
Sirajganj 6,Rajshahi,Sirajganj,Bangladesh Islami Front (BIF),Md. Mosharraf Hossain Shahidul,-
Sirajganj 6,Rajshahi,Sirajganj,Independent Candidate (Independent),Md. Waseeq Iqbal Khan Majlis,-
Sirajganj 6,Rajshahi,Sirajganj,Islami Andolan Bangladesh (IAB),Misbah Uddin,-
Sirajganj 6,Rajshahi,Sirajganj,National Citizen Party (NCP),S. M. Saif Mostafiz,103884.0
Sunamganj 1,Sylhet,Sunamganj,Bangladesh Nationalist Party (BNP),Kamruzzaman Kamrul,161774.0
Sunamganj 1,Sylhet,Sunamganj,Bangladesh Nezame Islam Party (BNIP),Maulana Muzzammil Haque Talukder,-
Sunamganj 1,Sylhet,Sunamganj,Bangladesh Jamaat-e-Islami (Jamaat),Tofael Ahmed,92966.0
Sunamganj 2,Sylhet,Sunamganj,Bangladesh Nationalist Party (BNP),Md. Nasir Chowdhury,99522.0
Sunamganj 2,Sylhet,Sunamganj,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Shishir Monir,63220.0
Sunamganj 2,Sylhet,Sunamganj,Communist Party of Bangladesh (CPB),Niranjan Das,-
Sunamganj 3,Sylhet,Sunamganj,Independent Candidate (Independent),Hussain Ahmed,-
Sunamganj 3,Sylhet,Sunamganj,Independent Candidate (Independent),Md. Anwar Hossain,42226.0
Sunamganj 3,Sylhet,Sunamganj,Independent Candidate (Independent),Md. Mahfuzur Rahman Khaled (Tushar),-
Sunamganj 3,Sylhet,Sunamganj,Bangladesh Nationalist Party (BNP),Mohammad Kayshar Ahmed,97313.0
Sunamganj 3,Sylhet,Sunamganj,Bangladesh Khelafat Majlish (BKM),Mohammad Shahinur Pasha Chowdhury,-
Sunamganj 3,Sylhet,Sunamganj,Khelafat Majlis,Sheikh Mushtaq Ahmed,-
Sunamganj 3,Sylhet,Sunamganj,Amar Bangladesh Party (AB),Syed Talha Alam,-
Sunamganj 4,Sylhet,Sunamganj,Independent Candidate (Independent),Dewan Zainul Zakerin,-
Sunamganj 4,Sylhet,Sunamganj,Jatiya Party (JaPa),Md. Nazmul Huda,-
Sunamganj 4,Sylhet,Sunamganj,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shams Uddin,75735.0
Sunamganj 4,Sylhet,Sunamganj,Bangladesh Nationalist Party (BNP),Nurul Islam,98092.0
Sunamganj 4,Sylhet,Sunamganj,Islami Andolan Bangladesh (IAB),Shahidul Islam,-
Sunamganj 5,Sylhet,Sunamganj,Bangladesh Jamaat-e-Islami (Jamaat),Abu Tahir Muhammad Abdus Salam,102121.0
Sunamganj 5,Sylhet,Sunamganj,Bangladesh Nationalist Party (BNP),Kalim Uddin Ahmed,151915.0
Sunamganj 5,Sylhet,Sunamganj,National People's Party (NPP),Md. Azizul Haque,-
Sunamganj 5,Sylhet,Sunamganj,Khelafat Majlis,Mohammad Abdul Qadir,-
Sunamganj 5,Sylhet,Sunamganj,Jatiya Party (JaPa),Mohammad Jahangir Alam,-
Sylhet 1,Sylhet,Sylhet,Gono Odhikar Parishad (GOP),Akmal Hossain,-
Sylhet 1,Sylhet,Sylhet,Bangladesh Nationalist Party (BNP),Khandaker Abdul Muktadir,173932.0
Sylhet 1,Sylhet,Sylhet,Islami Andolan Bangladesh (IAB),Mahmudul Hasan,-
Sylhet 1,Sylhet,Sylhet,Bangladesh Jamaat-e-Islami (Jamaat),Maulana Habibur Rahman,134983.0
Sylhet 1,Sylhet,Sylhet,Insaniyat Biplob Bangladesh (IBB),Md. Shamim Mia,-
Sylhet 1,Sylhet,Sylhet,Communist Party of Bangladesh (CPB),Mohammad Anwar Hossain,-
Sylhet 1,Sylhet,Sylhet,Bangladesh Samajtantrik Dal (Basad),Pranab Jyoti Pal,-
Sylhet 1,Sylhet,Sylhet,Socialist Party of Bangladesh (Marxist) (SPB-M),Sanjay Kanti Das,-
Sylhet 2,Sylhet,Sylhet,Jatiya Party (JaPa),Mahbubur Rahman Chowdhury,-
Sylhet 2,Sylhet,Sylhet,Islami Andolan Bangladesh (IAB),Md. Amir Uddin,-
Sylhet 2,Sylhet,Sylhet,Gono Forum (GF),Md. Mujibul Haque,-
Sylhet 2,Sylhet,Sylhet,Bangladesh Nationalist Party (BNP),Ms. Tahsina Rushdeer,117956.0
Sylhet 2,Sylhet,Sylhet,Khelafat Majlis,Muhammad Muntasir Ali,38635.0
Sylhet 3,Sylhet,Sylhet,Independent Candidate (Independent),Mainul Bakar,-
Sylhet 3,Sylhet,Sylhet,Bangladesh Nationalist Party (BNP),Mohammad Abdul Malik,115450.0
Sylhet 3,Sylhet,Sylhet,Jatiya Party (JaPa),Mohammad Atiqur Rahman,-
Sylhet 3,Sylhet,Sylhet,Independent Candidate (Independent),Mostakim Raja Chowdhury,-
Sylhet 3,Sylhet,Sylhet,Bangladesh Khelafat Majlish (BKM),Musleh Uddin Raju,73614.0
Sylhet 3,Sylhet,Sylhet,Islami Andolan Bangladesh (IAB),Redwanul Haque Chowdhury,-
Sylhet 4,Sylhet,Sylhet,Bangladesh Nationalist Party (BNP),Ariful Haque Chowdhury,186846.0
Sylhet 4,Sylhet,Sylhet,Islami Andolan Bangladesh (IAB),Maulana Syed Ahmed,-
Sylhet 4,Sylhet,Sylhet,Bangladesh Jamaat-e-Islami (Jamaat),Md. Joynal Abedin,71391.0
Sylhet 4,Sylhet,Sylhet,Jatiya Party (JaPa),Mohammad Mujibur Rahman,-
Sylhet 4,Sylhet,Sylhet,Gono Odhikar Parishad (GOP),Zahirul Islam,-
Sylhet 5,Sylhet,Sylhet,Independent Candidate (Independent),Mamunur Rashid,-
Sylhet 5,Sylhet,Sylhet,Bangladesh Muslim League (BML),Md. Bilal Uddin,-
Sylhet 5,Sylhet,Sylhet,Khelafat Majlis,Mohammad Abul Hasan,79355.0
Sylhet 5,Sylhet,Sylhet,Jamiat Ulema-e-Islam Bangladesh (JUIB),Ubaidullah Farooq,69774.0
Sylhet 6,Sylhet,Sylhet,Bangladesh Nationalist Party (BNP),Emran Ahmed Chowdhury,109917.0
Sylhet 6,Sylhet,Sylhet,Independent Candidate (Independent),Md. Fakhrul Islam,-
Sylhet 6,Sylhet,Sylhet,Jatiya Party (JaPa),Mohammad Abdun Noor,-
Sylhet 6,Sylhet,Sylhet,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Selim Uddin,101569.0
Sylhet 6,Sylhet,Sylhet,Gono Odhikar Parishad (GOP),Zahidur Rahman,-
Tangail 1,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Faqir Mahbub Anam,153932.0
Tangail 1,Dhaka,Tangail,Independent Candidate (Independent),Md. Asadul Islam,-
Tangail 1,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Md. Harun Or Rashid,-
Tangail 1,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Muhammad Abdullahel Kafi,94462.0
Tangail 1,Dhaka,Tangail,Independent Candidate (Independent),Muhammad Ali,-
Tangail 1,Dhaka,Tangail,Jatiya Party (JaPa),Muhammad Ilias Hossain,-
Tangail 2,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Md. Abdus Salam Pintu,198213.0
Tangail 2,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Md. Humayon Kabir,60871.0
Tangail 2,Dhaka,Tangail,Jatiya Party (JaPa),Md. Humayun Kabir Talukder,-
Tangail 2,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Md. Moniar Hossen Sagor,-
Tangail 3,Dhaka,Tangail,Independent Candidate (Independent),Ainin Nahar,-
Tangail 3,Dhaka,Tangail,Independent Candidate (Independent),Md. Lutfor Rahman Khan Azad,107901.0
Tangail 3,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Md. Rajaul Karim,-
Tangail 3,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),SM Obaidul Haque,82769.0
Tangail 3,Dhaka,Tangail,National Citizen Party (NCP),Saifullah Hyder,-
Tangail 4,Dhaka,Tangail,Independent Candidate (Independent),Abdul Latif Siddique,62509.0
Tangail 4,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Ali Amzad Hossain,-
Tangail 4,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Khandaker Abdur Razzaque,-
Tangail 4,Dhaka,Tangail,Independent Candidate (Independent),Md. Abdul Halim Miah,-
Tangail 4,Dhaka,Tangail,Jatiya Party (JaPa),Md. Liakot Ali,-
Tangail 4,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Md. Lutfor Rahman,105342.0
Tangail 5,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Ahsan Habib,80283.0
Tangail 5,Dhaka,Tangail,Ganosanhati Andolan (GSA),Fatema Akter,-
Tangail 5,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Khandakar Jakir Hossain,-
Tangail 5,Dhaka,Tangail,Independent Candidate (Independent),Md. Farhad Iqbal,-
Tangail 5,Dhaka,Tangail,Bangladesh Supreme Party (BSP),Md. Hasrat Khan Bhasani,-
Tangail 5,Dhaka,Tangail,Jatiya Party (JaPa),Md. Mozammel Hoque,-
Tangail 5,Dhaka,Tangail,Gono Odhikar Parishad (GOP),Md. Shafiqul Islam,-
Tangail 5,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Sultan Salauddin Tuku,131279.0
Tangail 5,Dhaka,Tangail,Jatiya Samajtantrik Dal-JASAD,Syed Khalakuzzaman Mostafa,-
Tangail 6,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),A.K.M. Abdul Hamid,91914.0
Tangail 6,Dhaka,Tangail,Independent Candidate (Independent),Barrister Muhammad Ashraful Islam,-
Tangail 6,Dhaka,Tangail,Islami Andolan Bangladesh (IAB),Md. Akhinur Miah,-
Tangail 6,Dhaka,Tangail,Independent Candidate (Independent),Md. Jewel Sarkar,-
Tangail 6,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Md. Robiul Awal,150952.0
Tangail 6,Dhaka,Tangail,Jatiya Party (JaPa),Mohammad Mamunur Rahim,-
Tangail 6,Dhaka,Tangail,Jatiya Party (JaPa),Tareque Shams Khan (Himu),-
Tangail 7,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Abul Kalam Azad Siddique,141253.0
Tangail 7,Dhaka,Tangail,Bangladesh Republican Party (BRP),Md. Tofazzal Hossain,1492.0
Tangail 7,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Mohammad Abdullah Ibne Abul Hosain,71040.0
Tangail 8,Dhaka,Tangail,Bangladesh Nationalist Party (BNP),Ahmed Azam Khan,114217.0
Tangail 8,Dhaka,Tangail,Revolutionary Workers Party of Bangladesh (RWPB),Awal Mahmud,-
Tangail 8,Dhaka,Tangail,Amjanatar Dol,Md. Alamgir Hossin,-
Tangail 8,Dhaka,Tangail,Jatiya Party (JaPa),Md. Nazmul Hasan,-
Tangail 8,Dhaka,Tangail,Bangladesh Jamaat-e-Islami (Jamaat),Md. Shafiqul Islam Khan,-
Tangail 8,Dhaka,Tangail,Independent Candidate (Independent),Salahuddin Alamgir,77130.0
Thakurgaon 1,Rangpur,Thakurgaon,Bangladesh Jamaat-e-Islami (Jamaat),Delwar Hossain,141017.0
Thakurgaon 1,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md. Khademul Islam,-
Thakurgaon 1,Rangpur,Thakurgaon,Bangladesh Nationalist Party (BNP),Mirza Fakhrul Islam Alamgir,238836.0
Thakurgaon 2,Rangpur,Thakurgaon,Bangladesh Nationalist Party (BNP),Dr. Md. Abdus Salam,121017.0
Thakurgaon 2,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md Rejaul Karim,-
Thakurgaon 2,Rangpur,Thakurgaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Abdul Hakim,115707.0
Thakurgaon 2,Rangpur,Thakurgaon,Gono Odhikar Parishad (GOP),Md. Faruk Hosen,-
Thakurgaon 2,Rangpur,Thakurgaon,Amar Bangladesh Party (AB),Md. Nahid-Rana,-
Thakurgaon 2,Rangpur,Thakurgaon,Jatiya Party (JaPa),Mst Nurun Nahar Begum,-
Thakurgaon 2,Rangpur,Thakurgaon,Communist Party of Bangladesh (CPB),Shahab Uddin Ahmed,-
Thakurgaon 3,Rangpur,Thakurgaon,Jatiya Party (JaPa),Hafiz Uddin Ahmed,-
Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Minority Janata Party (BMJP),Kamala Kanta Roy,-
Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Supreme Party (BSP),Md. Abul Kalam Azad,-
Thakurgaon 3,Rangpur,Thakurgaon,Islami Andolan Bangladesh (IAB),Md. Al Amin,-
Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Nationalist Party (BNP),Md. Jahidur Rahaman,132797.0
Thakurgaon 3,Rangpur,Thakurgaon,Gono Odhikar Parishad (GOP),Md. Mamunur Rashid Mamun,-
Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Jamaat-e-Islami (Jamaat),Md. Mizanur Rahman,91934.0
Thakurgaon 3,Rangpur,Thakurgaon,Independent Candidate (Independent),Mst. Asha Moni,-
Thakurgaon 3,Rangpur,Thakurgaon,Communist Party of Bangladesh (CPB),Probhat Somir Sahjahan Alom,-
Thakurgaon 3,Rangpur,Thakurgaon,Bangladesh Muslim League (BML),SM Khalilur Rahman Sarkar,-
